common tag ( try to make this based on subject),Domain,knowlegde set,skill knowledge,engineering programs ,subject and co to map ,,,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,digital transactions signing and verification -BL4,CSE,CRYPTOGRAPHY AND NETWORK SECURITY-CO3[Illustrate Public and Private key cryptography](21CS733),Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,digital transactions signing and verification -BL5,CSE,CRYPTOGRAPHY AND NETWORK SECURITY-CO5[Interpret authentication protocols and IPSec](21CS733),CRYPTOGRAPHY AND NETWORK SECURITY-CO5[Interpret authentication protocols and IPSec](21CS733),,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,basic security risks identififcation -BL3,CSE,"Cyber Security Fundamentals and laws-CO1[Comprehensive understanding of fundamental cyber security concepts, threats,
vulnerabilities, and the measures necessary to protect information systems and assets](21CY63)",,,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,basic security risks identififcation -BL4,CSE,"Cyber Security Fundamentals and laws Laboratory-CO2[Classify network vulnerabilities, identify potential threats, and develop effective strategies for
securing network infrastructure.](21CYL66)","Cyber Security Fundamentals and laws-CO3[The ability to perceive the unique challenges and security implications associated with the
widespread use of mobile and wireless devices.](21CY63)",,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,basic security risks identififcation -BL5,CSE,"CYBER SECURITY MANAGEMENT, COMPLIANCE AND GOVERNANCE-CO3[Interpret the role of security policy within an organization and its position with relation to other controls within a comprehensive cybersecurity environment.](21CS732)","CYBER SECURITY MANAGEMENT, COMPLIANCE AND GOVERNANCE-CO5[Explain compliance requirements in relation to cybersecurity, information security, privacy data protection and critical information infrastructure protection](21CS732)",,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,advanced smart contracts writing -BL3,CSE,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,advanced smart contracts writing -BL4,CS,BLOCKCHAIN AND APPLICATIONS-CO2[Examine the decentralization concepts and apply thee cryptography techniques in Blockchain](21CS651),BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,advanced smart contracts writing -BL5,CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,gas-efficient contract logic implementation -BL3,CS,BLOCKCHAIN AND APPLICATIONS-CO4[Demonstrate Application development using Ethereum](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,gas-efficient contract logic implementation -BL4,CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,gas-efficient contract logic implementation -BL5,CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,Chainlink oracles for external data integration utilization -BL3,CS,BLOCKCHAIN AND APPLICATIONS-CO4[Demonstrate Application development using Ethereum](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,Chainlink oracles for external data integration utilization -BL4,CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,Chainlink oracles for external data integration utilization -BL5,CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,Debugging smart contracts ( truffle and Hardhat) -BL3,CS,BLOCKCHAIN AND APPLICATIONS-CO4[Demonstrate Application development using Ethereum](21CS651),BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,Debugging smart contracts ( truffle and Hardhat) -BL4,AIML,Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,Smart Contract Development,Debugging smart contracts ( truffle and Hardhat) -BL5,AIML,Block Chain and Applications-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of Blockchain](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,"ERC-20, ERC-721, and ERC-1155 tokens creation -BL3",AIML,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,"ERC-20, ERC-721, and ERC-1155 tokens creation -BL4",AIML,Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,"ERC-20, ERC-721, and ERC-1155 tokens creation -BL5",AIML,Block Chain and Applications-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of Blockchain](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,liquidity pools and automated market makers (AMMs) implementation  -BL3,AIML,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,liquidity pools and automated market makers (AMMs) implementation  -BL4,AIML,Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,liquidity pools and automated market makers (AMMs) implementation  -BL5,AIML,Block Chain and Applications-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of Blockchain](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,governance contracts creation -BL3,AIML,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,governance contracts creation -BL4,AIML,Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,governance contracts creation -BL5,CS,BLOCKCHAIN AND APPLICATIONS-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of Blockchain](21CS651),BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,DeFi protocols securing -BL3,CSE,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),,,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,DeFi protocols securing -BL4,CSE,Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),"Cryptography and Network Security-CO4[CL3 CO3 Solve the Elliptic curve arithmetic, abelian groups, elliptic curves over real numbers, Illustrate the need of the key management and distribution CL3](21CY62)",,,
New age software developer,Crypto and Blockchain Development,DeFi and Token Development,DeFi protocols securing -BL5,CSE,"Block Chain and Applications-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of
Blockchain](21CS651)",Cyber Security Fundamentals and laws-CO5[A thorough insight into the ramifications of cyber security for organizations.](21CY63),,,
New age software developer,Crypto and Blockchain Development,Blockchain Infrastructure and Scalability,Running full nodes and validator nodes -BL3,AIML,"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Infrastructure and Scalability,Running full nodes and validator nodes -BL4,AIML,Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Infrastructure and Scalability,Running full nodes and validator nodes -BL5,AIML,Block Chain and Applications-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of Blockchain](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Infrastructure and Scalability,"Layer 2 scaling solutions (Optimistic Rollups, zk-Rollups) implementation -BL3",AIML,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Infrastructure and Scalability,"Layer 2 scaling solutions (Optimistic Rollups, zk-Rollups) implementation -BL4",AIML,Block Chain and Applications-CO2[Examine the decentralization concepts and apply the cryptography techniques in Blockchain](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,Blockchain Infrastructure and Scalability,"Layer 2 scaling solutions (Optimistic Rollups, zk-Rollups) implementation -BL5",AIML,Block Chain and Applications-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of Blockchain](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Infrastructure and Scalability,cross-chain bridges development for asset transfers -BL3,AIML,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),Block Chain and Applications-CO5[Illustrate the usage of Smart contract and architecture of Hyperledger](21CS651),,,
